Date,Adj Close,Close,High,Low,Open,Volume,Symbol
2015-01-02,26.244783401489258,26.477500915527344,26.790000915527344,26.393999099731445,26.6299991607666,26480000,GOOGL
2015-01-05,25.744714736938477,25.972999572753906,26.399499893188477,25.887500762939453,26.357500076293945,41182000,GOOGL
2015-01-06,25.109346389770508,25.332000732421875,26.06049919128418,25.27750015258789,26.024999618530273,54456000,GOOGL
2015-01-07,25.035505294799805,25.25749969482422,25.574499130249023,25.1825008392334,25.547500610351562,46918000,GOOGL
2015-01-08,25.122730255126953,25.345500946044922,25.375,24.750999450683594,25.07550048828125,73054000,GOOGL
2015-01-09,24.815950393676758,25.035999298095703,25.43000030517578,24.9325008392334,25.409000396728516,42000000,GOOGL
2015-01-12,24.63456153869629,24.85300064086914,25.013999938964844,24.545499801635742,24.961999893188477,57138000,GOOGL
2015-01-13,24.869478225708008,25.09000015258789,25.43000030517578,24.863000869750977,25.12849998474121,60958000,GOOGL
2015-01-14,25.07416343688965,25.296499252319336,25.413000106811523,24.908000946044922,25.020999908447266,52800000,GOOGL
2015-01-15,24.979005813598633,25.20050048828125,25.487499237060547,25.100500106811523,25.444499969482422,51068000,GOOGL
2015-01-16,25.29867172241211,25.523000717163086,25.542499542236328,25.154499053955078,25.157499313354492,49658000,GOOGL
2015-01-20,25.272899627685547,25.496999740600586,25.780500411987305,25.4685001373291,25.638500213623047,46796000,GOOGL
2015-01-21,25.790803909301758,26.019500732421875,26.092500686645508,25.47949981689453,25.54199981689453,46356000,GOOGL
2015-01-22,26.628873825073242,26.864999771118164,26.941999435424805,26.095500946044922,26.149999618530273,56068000,GOOGL
2015-01-23,26.859331130981445,27.09749984741211,27.27050018310547,26.787500381469727,26.901500701904297,45966000,GOOGL
2015-01-26,26.600130081176758,26.836000442504883,27.075000762939453,26.603500366210938,27.075000762939453,30932000,GOOGL
2015-01-27,25.830453872680664,26.059499740600586,26.638999938964844,26.042999267578125,26.56999969482422,39148000,GOOGL
2015-01-28,25.39630699157715,25.62150001525879,26.284500122070312,25.61750030517578,26.25,35822000,GOOGL
2015-01-29,25.43595314025879,25.661500930786133,25.75950050354004,25.173999786376953,25.645000457763672,79018000,GOOGL
2015-01-30,26.641265869140625,26.877500534057617,27.155000686645508,25.909000396728516,25.950000762939453,121108000,GOOGL
2015-02-02,26.376115798950195,26.610000610351562,26.825000762939453,26.086000442504883,26.715999603271484,75378000,GOOGL
2015-02-03,26.430631637573242,26.665000915527344,26.872499465942383,26.340499877929688,26.496999740600586,47062000,GOOGL
2015-02-04,26.073795318603516,26.30500030517578,26.837499618530273,26.25149917602539,26.656999588012695,33896000,GOOGL
2015-02-05,26.25865936279297,26.491500854492188,26.534500122070312,26.281999588012695,26.396499633789062,33176000,GOOGL
2015-02-06,26.459381103515625,26.694000244140625,27.01099967956543,26.4325008392334,26.550500869750977,42938000,GOOGL
2015-02-09,26.231401443481445,26.464000701904297,26.694000244140625,26.377500534057617,26.55299949645996,30314000,GOOGL
