Price,Adj Close,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META,META
Date,,,,,,
2015-01-02,77.76708221435547,78.44999694824219,78.93000030517578,77.69999694824219,78.58000183105469,18177500
2015-01-05,76.51805877685547,77.19000244140625,79.25,76.86000061035156,77.9800033569336,26452200
2015-01-06,75.48709869384766,76.1500015258789,77.58999633789062,75.36000061035156,77.2300033569336,27399300
2015-01-07,75.48709869384766,76.1500015258789,77.36000061035156,75.81999969482422,76.76000213623047,22045300
2015-01-08,77.49944305419922,78.18000030517578,78.2300033569336,76.08000183105469,76.73999786376953,23961000
2015-01-09,77.06327056884766,77.73999786376953,78.62000274658203,77.19999694824219,78.19999694824219,21157000
2015-01-12,76.0521469116211,76.72000122070312,78.0,76.20999908447266,77.83999633789062,19190200
2015-01-13,75.78450012207031,76.44999694824219,78.08000183105469,75.8499984741211,77.2300033569336,25179600
2015-01-14,75.61597442626953,76.27999877929688,77.19999694824219,76.02999877929688,76.41999816894531,25918600
2015-01-15,73.40540313720703,74.05000305175781,76.56999969482422,73.54000091552734,76.4000015258789,34134000
2015-01-16,74.52555084228516,75.18000030517578,75.31999969482422,73.83999633789062,74.04000091552734,21791500
2015-01-20,75.57632446289062,76.23999786376953,76.30999755859375,74.81999969482422,75.72000122070312,22821600
2015-01-21,76.07196807861328,76.73999786376953,77.30000305175781,75.8499984741211,76.16000366210938,25096700
2015-01-22,76.97403717041016,77.6500015258789,77.75,76.68000030517578,77.16999816894531,19519500
2015-01-23,77.15248107910156,77.83000183105469,78.19000244140625,77.04000091552734,77.6500015258789,16746500
2015-01-26,76.82536315917969,77.5,78.47000122070312,77.29000091552734,77.9800033569336,19260800
2015-01-27,75.12031555175781,75.77999877929688,76.87999725341797,75.62999725341797,76.70999908447266,20110000
2015-01-28,75.57632446289062,76.23999786376953,77.63999938964844,76.0,76.9000015258789,53306400
2015-01-29,77.32100677490234,78.0,78.0199966430664,74.20999908447266,76.8499984741211,61293500
2015-01-30,75.24919891357422,75.91000366210938,78.16000366210938,75.75,78.0,42649500
2015-02-02,74.33720397949219,74.98999786376953,76.13999938964844,73.75,76.11000061035156,41955300
2015-02-03,74.74363708496094,75.4000015258789,75.58000183105469,73.86000061035156,75.19000244140625,26957700
2015-02-04,74.97163391113281,75.62999725341797,76.3499984741211,75.01000213623047,75.08999633789062,20277400
2015-02-05,74.95181274414062,75.61000061035156,75.9800033569336,75.20999908447266,75.70999908447266,15062600
2015-02-06,73.82172393798828,74.47000122070312,75.69999694824219,74.25,75.68000030517578,21211000
2015-02-09,73.7919921875,74.44000244140625,74.83000183105469,73.44999694824219,74.05000305175781,16194300
2015-02-10,74.53546905517578,75.19000244140625,75.33999633789062,74.5,74.8499984741211,15811300
2015-02-11,75.8439712524414,76.51000213623047,76.75,75.02999877929688,75.08999633789062,20877400
2015-02-12,75.56641387939453,76.2300033569336,76.87000274658203,75.88999938964844,76.86000061035156,17235000
2015-02-13,75.08067321777344,75.73999786376953,76.4800033569336,75.5,76.45999908447266,18621900
2015-02-17,74.94188690185547,75.5999984741211,76.91000366210938,75.08000183105469,75.30000305175781,25254400
2015-02-18,76.04222869873047,76.70999908447266,76.9000015258789,75.44999694824219,75.94000244140625,22426400
2015-02-19,78.72864532470703,79.41999816894531,79.83999633789062,76.94999694824219,76.98999786376953,45851200
2015-02-20,79.20445251464844,79.9000015258789,80.33999633789062,79.19999694824219,79.55000305175781,36931700
2015-02-23,78.15369415283203,78.83999633789062,80.19000244140625,78.37999725341797,79.95999908447266,24139100
2015-02-24,77.76708221435547,78.44999694824219,79.4800033569336,78.0999984741211,78.5,18897100
2015-02-25,78.8674087524414,79.55999755859375,80.19999694824219,78.5,78.5,25593800
2015-02-26,79.71002197265625,80.41000366210938,81.37000274658203,79.72000122070312,79.87999725341797,31111900
2015-02-27,78.28255462646484,78.97000122070312,81.2300033569336,78.62000274658203,80.68000030517578,30739200
2015-03-02,79.05575561523438,79.75,79.86000061035156,78.5199966430664,79.0,21662500
2015-03-03,78.90706634521484,79.5999984741211,79.69999694824219,78.5199966430664,79.61000061035156,18635000
2015-03-04,80.19574737548828,80.9000015258789,81.1500015258789,78.8499984741211,79.30000305175781,28126700
2015-03-05,80.5030517578125,81.20999908447266,81.98999786376953,81.05000305175781,81.2300033569336,27825700
2015-03-06,79.31350708007812,80.01000213623047,81.33000183105469,79.83000183105469,80.9000015258789,24488600
2015-03-09,78.74846649169922,79.44000244140625,79.91000366210938,78.62999725341797,79.68000030517578,18925100
2015-03-10,76.87491607666016,77.55000305175781,79.26000213623047,77.55000305175781,78.5,23067100
2015-03-11,76.89473724365234,77.56999969482422,78.43000030517578,77.26000213623047,77.80000305175781,20215700
2015-03-12,78.24290466308594,78.93000030517578,79.05000305175781,77.91000366210938,78.0999984741211,16093300
2015-03-13,77.37056732177734,78.05000305175781,79.37999725341797,77.68000030517578,78.5999984741211,18557300
2015-03-16,77.39038848876953,78.06999969482422,78.12000274658203,77.36000061035156,77.95999908447266,19305400
2015-03-17,78.6691665649414,79.36000061035156,79.77999877929688,78.33999633789062,78.36000061035156,22170000
2015-03-18,80.20567321777344,80.91000366210938,81.23999786376953,79.16999816894531,79.25,36912400
2015-03-19,82.02964782714844,82.75,83.0,81.0,81.12000274658203,42099500
2015-03-20,83.07051086425781,83.80000305175781,84.5999984741211,83.06999969482422,83.38999938964844,44466300
2015-03-23,83.69503784179688,84.43000030517578,84.95999908447266,83.30000305175781,83.91999816894531,27357300
2015-03-24,84.5673599243164,85.30999755859375,86.06999969482422,84.5199966430664,84.70999908447266,32576500
2015-03-25,82.19815826416016,82.91999816894531,85.5199966430664,82.91999816894531,85.5,37436100
2015-03-26,82.28739929199219,83.01000213623047,83.7699966430664,82.13999938964844,82.72000122070312,32794800
2015-03-27,82.57486724853516,83.30000305175781,83.94999694824219,82.87999725341797,83.37999725341797,18372600
2015-03-30,82.47573852539062,83.19999694824219,84.33999633789062,82.41000366210938,83.80999755859375,24527700
2015-03-31,81.50425720214844,82.22000122070312,83.5,82.20999908447266,82.9000015258789,19734300
2015-04-01,80.95905303955078,81.66999816894531,82.72000122070312,80.87000274658203,82.5,22058200
2015-04-02,80.85000610351562,81.55999755859375,82.55999755859375,81.44000244140625,82.25,19664100
2015-04-06,81.72235870361328,82.44000244140625,82.80999755859375,80.80000305175781,80.80000305175781,19062900
2015-04-07,81.60338592529297,82.31999969482422,83.41999816894531,82.22000122070312,82.6500015258789,17467000
2015-04-08,81.56373596191406,82.27999877929688,83.0999984741211,81.83999633789062,82.62999725341797,18966700
2015-04-09,81.45469665527344,82.16999816894531,82.80000305175781,81.70999908447266,82.5,15927300
2015-04-10,81.3258285522461,82.04000091552734,82.61000061035156,81.91000366210938,82.20999908447266,12529700
2015-04-13,82.28739929199219,83.01000213623047,83.94000244140625,81.91999816894531,81.93000030517578,26883100
2015-04-14,82.79295349121094,83.5199966430664,83.69000244140625,82.44000244140625,83.16999816894531,19634200
2015-04-15,81.99000549316406,82.70999908447266,83.66000366210938,82.2699966430664,83.55000305175781,22390900
2015-04-16,81.59346771240234,82.30999755859375,83.06999969482422,82.1500015258789,82.47000122070312,13769700
2015-04-17,80.07681274414062,80.77999877929688,82.11000061035156,80.37000274658203,81.4800033569336,24215000
2015-04-20,82.3666763305664,83.08999633789062,83.1500015258789,81.23999786376953,81.54000091552734,28796800
2015-04-21,82.89207458496094,83.62000274658203,84.48999786376953,83.54000091552734,84.0,27171900
2015-04-22,83.89328002929688,84.62999725341797,84.73999786376953,83.6500015258789,84.31999969482422,45548000
2015-04-23,81.6926040649414,82.41000366210938,85.58999633789062,82.41000366210938,84.0999984741211,73728100
2015-04-24,80.82026672363281,81.52999877929688,82.94000244140625,81.4800033569336,82.7699966430664,29660400
2015-04-27,81.19697570800781,81.91000366210938,82.93000030517578,81.62999725341797,81.87000274658203,25446000
2015-04-28,79.97767639160156,80.68000030517578,81.9000015258789,80.2300033569336,81.83000183105469,23775300
2015-04-29,79.76950073242188,80.47000122070312,81.38999938964844,79.5199966430664,80.01000213623047,26430300
2015-04-30,78.08428955078125,78.7699966430664,80.95999908447266,78.31999969482422,80.01000213623047,28999000
2015-05-01,78.30237579345703,78.98999786376953,79.76000213623047,78.11000061035156,79.23999786376953,24136400
2015-05-04,78.12393951416016,78.80999755859375,79.69000244140625,78.62999725341797,79.33000183105469,14692000
2015-05-05,76.88483428955078,77.55999755859375,78.80000305175781,77.22000122070312,78.55000305175781,22311300
2015-05-06,77.4201431274414,78.0999984741211,78.80999755859375,77.05000305175781,77.97000122070312,28663000
2015-05-07,77.74725341796875,78.43000030517578,78.94000244140625,77.55999755859375,78.0,19749400
2015-05-08,77.8265609741211,78.51000213623047,79.2300033569336,78.02999877929688,79.0999984741211,19943600
2015-05-11,77.33092498779297,78.01000213623047,79.02999877929688,77.93000030517578,78.4800033569336,18874100
2015-05-12,76.78569030761719,77.45999908447266,77.88999938964844,76.79000091552734,77.87000274658203,21285300
2015-05-13,77.75717163085938,78.44000244140625,78.52999877929688,77.6500015258789,77.72000122070312,21512300
2015-05-14,80.66165161132812,81.37000274658203,81.8499984741211,78.66999816894531,78.94000244140625,49438000
2015-05-15,79.71994018554688,80.41999816894531,81.5199966430664,80.18000030517578,81.41000366210938,27069900
